,step,vertical_idx,horizontal_idx
0,1,3,4
1,2,2,4
2,7,3,0
3,14,0,3
4,15,4,2
5,19,1,1
6,22,4,0
7,25,0,4
8,29,0,4
9,32,4,2
10,38,0,1
11,41,0,2
12,42,0,1
13,42,0,2
14,49,1,0
15,51,0,2
16,58,0,0
17,58,0,4
18,64,3,1
19,66,0,3
20,66,4,2
21,67,0,2
22,81,0,4
23,83,1,0
24,99,0,0
25,102,1,4
26,115,0,0
27,119,0,2
28,130,3,1
29,131,2,4
30,136,2,2
31,139,0,3
32,143,2,4
33,145,1,1
34,147,1,0
35,156,2,1
36,158,2,1
37,158,3,4
38,160,4,2
39,168,4,3
40,172,0,3
41,172,1,1
42,177,1,3
43,177,2,2
44,177,2,4
45,182,2,3
46,186,0,2
47,187,1,1
48,192,2,4
