,step,vertical_idx,horizontal_idx
0,1,2,3
1,3,1,2
2,5,2,3
3,9,3,2
4,16,1,2
5,17,4,0
6,23,4,2
7,25,2,3
8,26,4,2
9,30,2,2
10,33,2,3
11,34,2,3
12,43,3,1
13,51,0,2
14,52,0,1
15,65,3,2
16,70,2,3
17,73,2,1
18,74,3,1
19,81,4,2
20,82,0,0
21,83,1,1
22,86,1,2
23,90,2,2
24,92,2,2
25,92,3,3
26,94,3,1
27,105,1,0
28,106,1,2
29,110,3,3
30,113,1,0
31,114,1,1
32,119,0,1
33,123,2,1
34,124,4,2
35,136,1,1
36,141,2,2
37,141,3,3
38,145,4,1
39,146,4,2
40,147,4,4
41,153,3,2
42,158,2,3
43,163,1,0
44,169,3,1
45,173,1,3
46,177,4,0
47,179,1,2
48,184,2,4
49,190,3,1
