,step,vertical_idx,horizontal_idx
0,1,3,4
1,6,0,3
2,6,4,0
3,7,1,2
4,8,0,4
5,8,3,4
6,12,1,2
7,15,3,1
8,26,1,4
9,27,2,2
10,28,4,2
11,29,3,2
12,35,1,1
13,48,2,4
14,50,3,1
15,55,0,3
16,55,1,3
17,61,0,1
18,61,1,1
19,62,2,4
20,64,2,4
21,67,0,3
22,68,0,0
23,74,1,1
24,79,1,1
25,80,1,2
26,98,2,1
27,112,1,0
28,115,3,0
29,115,4,3
30,116,2,2
31,118,2,4
32,122,3,4
33,125,1,1
34,126,4,4
35,135,1,4
36,143,4,2
37,163,0,0
38,167,1,1
39,167,4,2
40,170,0,0
41,174,3,4
42,175,3,1
43,177,3,2
44,179,1,0
45,183,2,3
46,183,2,4
47,187,4,1
48,189,1,0
49,190,1,0
50,197,1,2
