,step,vertical_idx,horizontal_idx
0,16,0,4
1,16,3,4
2,24,2,4
3,26,4,3
4,32,1,2
5,35,2,3
6,57,0,0
7,58,0,0
8,60,2,1
9,62,4,3
10,66,0,0
11,66,2,1
12,67,3,2
13,67,4,3
14,70,3,0
15,80,1,4
16,83,1,4
17,83,3,0
18,85,4,4
19,93,3,0
20,96,2,1
21,96,3,3
22,97,3,0
23,99,0,0
24,99,2,3
25,102,0,1
26,104,0,3
27,105,4,0
28,113,0,4
29,114,0,0
30,114,1,1
31,126,4,0
32,129,2,1
33,137,0,2
34,139,4,3
35,139,4,4
36,145,0,1
37,145,3,0
38,146,0,0
39,148,2,3
40,156,2,3
41,157,2,4
42,160,0,2
43,166,1,3
44,167,4,4
45,168,2,3
46,172,2,4
47,176,3,2
48,183,1,1
49,185,0,3
50,190,3,1
51,191,1,3
52,191,4,3
53,197,2,1
